Country Name,Country Code,Indicator Name,Indicator Code,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Central African Republic,CAF,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,8.399580002,,,,,,,,,,,,,20.33687973,,,,,,,,,,,,35.29090118,,,,,,,,,,24.35548973,,,,,,,,25.75638008,,
Canada,CAN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,97.0485611,97.07808685,97.10582733,97.15141296,97.19090271,97.22531891,97.27500916,97.15119171,97.23713684,97.32790375,97.40701294,97.48420715,97.54998779,97.62304688,97.69566345,97.76027679,97.82647705,97.96173859,97.89974213,97.9484024,97.99530792,98.049263,98.08081818,98.12267303,98.16442871,98.18444061,98.21891022,98.27497101,98.54786682,98.57723236,98.60456848,98.62471008,98.64154053,98.66187286,98.68084717,98.70231628,,,,
Switzerland,CHE,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,90.80011749,,,,,,,,,,94.03671265,,,,,,,,,,95.64093018,,,,,,97.7420578,97.40083313,,96.53070831,,96.16175079,,96.74395752,,96.33402252,,,
China,CHN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,51.1368103,,,,,,,,68.07208252,,,,,,,,,,86.5266037,,,,,,,,,,92.71122742,,,,,,,,95.15933228,,
Cote d'Ivoire,CIV,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,23.43378067,,,,,,,,,,28.47666931,,38.61450958,,,,,,,,,,,,30.46171951,,36.78424835,,,,,86.74124908,
Cameroon,CMR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,29.11613083,,,,,,,,,,,,,,,,,,,,,,,,58.7217598,,,,,,,63.02206039,,,64.79949951,,,,,,,,71.58627319,,
"Congo, Dem. Rep.",COD,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,54.06090164,,,,,,46.10425186,,,,,62.91864014,,,,66.49997711,,,,
"Congo, Rep.",COG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,49.00133896,,,,,,,,,,,,,,,,,,,,,67.4807663,,,,,,72.87705994,,,,,,,74.61875916,,
Colombia,COL,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,91.14790344,,,91.31400299,,,,,,,,92.71463013,92.91124725,92.22059631,92.8456192,93.4353714,93.41513062,93.48679352,93.66712952,,,94.48465729,94.41581726,94.89022064,,95.31891632,95.46903229,95.87506104
Comoros,COM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,40.31761932,,,,,,,,,,,,,,,,,,,,63.45901871,,,,,,,,,,,,42.63729095,,,,,,52.95639038,,
Cabo Verde,CPV,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,52.99861908,,,,,,,,,,69.44455719,,,,,,,,,,,,80.49622345,,,82.04222107,,,,,
Costa Rica,CRI,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,92.57713318,,,,,,,,,,,,,,,,95.08078766,,,,,,,,,,,97.50041199,,,,,,,97.92443085,,
Caribbean small states,CSS,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,88.47250366,88.52490234,88.79290009,89.03582001,89.27842712,89.63450623,89.42997742,90.1399765,90.41840363,90.68518829,90.94239044,91.19782257,91.46085358,91.63208771,92.30979156,92.55767059,92.76846313,92.99176788,93.14990997,93.03948975,92.81674957,92.95472717,93.06014252,,,,,
Cuba,CUB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.79091644,,,,,,,,,,99.79988098,,,,,,,,
Curacao,CUW,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.02147675,,,,,,,,,,,,,
Cyprus,CYP,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,91.00177765,,,,,,,,,95.07965851,,,,,,,,,,98.1162262,,,,,,,,,
Czech Republic,CZE,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,72.53607941,,,,,,,,,,,,,,,,,,,,,87.17709351,,,,,88.27716827,,,89.69730377,90.22557068,90.22416687,91.25051117,92.147789,92.32106018,93.76412964,,,,
Algeria,DZA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,35.83992004,,,,,,,,,,,,,,,60.07508087,,,,63.91878891,,67.54875183,,,,,,,,,,75.32296753,,
East Asia & Pacific (excluding high income),EAP,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,50.16983032,50.39974976,51.83253098,53.28924179,54.11500168,56.25091171,57.40309143,59.12884903,60.5319519,61.87308121,63.01216888,64.51854706,70.38581085,71.38184357,71.49830627,73.07917023,73.87197113,74.64034271,75.45854187,76.27037811,76.98710632,85.07830811,85.60803223,86.08046722,86.46486664,87.12976837,87.67263031,88.23439026,88.69573975,89.19326782,89.77970886,91.33383179,91.68749237,92.18656921,92.35001373,92.22599792,92.52805328,92.66499329,93.26824188,93.51087189,93.71547699,93.97885895,94.2144165,94.42616272,94.63996124
Early-demographic dividend,EAR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,37.22608185,37.56927109,38.2795105,39.02756882,39.72898865,39.85223007,40.94984055,42.00302124,42.79938889,43.83140182,44.63164902,45.43822098,46.41999054,46.80316162,47.6139183,48.67900848,49.35194016,50.36503983,51.15335846,52.12879944,53.11909103,54.0381813,54.85033035,57.73706055,58.54561996,59.41080856,60.06455994,60.74306107,61.78868866,62.74015045,62.28862,63.28134155,63.9684906,65.16546631,66.32051086,68.29020691,68.56239319,69.18800354,69.82518768,70.95275879,71.7824707,72.57502747,73.20001984,73.60748291,74.22817993,74.82480621
East Asia & Pacific,EAS,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,53.40584946,53.65800095,54.94926071,56.25688171,56.97520828,58.95901108,59.93360901,61.46649933,62.72092819,63.9250412,64.93743134,66.34764099,71.57933044,72.501091,72.62210846,74.06493378,74.80120087,75.51358032,76.29125214,77.06285858,77.73399353,84.95919037,85.4697876,85.95677948,86.32552338,86.96616364,87.50512695,88.07752228,88.53344727,89.04216766,89.6211319,91.0463028,91.43772125,91.93167877,92.02303314,91.84757996,92.16629791,92.30757141,92.9963913,93.24960327,93.46089172,93.72992706,93.96881866,94.17939758,94.39044952
